ds,yhat,yhat_lower,yhat_upper
2024-03-26,68572.12464426224,65484.21982582392,71849.84121774849
2024-03-27,68813.52825885313,65638.28485273787,71789.85492442157
2024-03-28,68598.60707814095,65545.76178514685,71963.69506257663
2024-03-29,68663.15647504917,65621.61714883534,71782.4288593346
2024-03-30,68489.91266027732,65230.27611085945,71725.3122318826
2024-03-31,68528.48056499031,65394.76228219205,71660.8790584196
2024-04-01,68742.34963115932,65529.64924580968,71764.51948711686
2024-04-02,68285.5681322736,65152.74139875538,71356.43775868049
2024-04-03,68485.08167497562,65428.76370808625,71851.54330874151
2024-04-04,68219.06419138545,65178.1261496771,71453.18377277197
2024-04-05,68221.78185172542,65146.08112241343,71480.88957088953
2024-04-06,67974.99531388996,64697.41399275844,71060.24564179484
2024-04-07,67927.91000620957,64712.07137969133,71067.28266753934
2024-04-08,68044.19703653734,64789.34455982713,71264.18980630189
2024-04-09,67478.65557276814,64247.38194765275,70806.31509681205
2024-04-10,67559.52305549121,64333.58592456737,70508.84640284129
2024-04-11,67166.76271183394,63959.53884037782,70319.61793664648
2024-04-12,67036.87039277382,63782.68074580951,70122.97455495439
2024-04-13,66654.20803909346,63499.92939796746,69762.65516367895
2024-04-14,66470.87573018433,63334.6766380474,69459.29827217068
2024-04-15,66453.64732673965,63272.42861299724,69567.00050919528
2024-04-16,65760.54314018959,62771.05997414847,68623.68865258305
2024-04-17,65723.04861350376,62703.928732953194,69015.0737898371
2024-04-18,65224.31114638445,62112.636680131385,68471.26017891824
2024-04-19,65003.859581191995,61647.408269754545,68334.28229932176
2024-04-20,64548.85603845273,61519.882347273975,67630.65573358122
2024-04-21,64313.89418366279,60995.654677441846,67483.08598765041
2024-04-22,64267.87077666901,61406.96573810342,67493.7154422352
2024-04-23,63570.50543426368,60117.42328959693,66926.48866814113
2024-04-24,63554.51873664329,60336.9913001228,66642.30111791362
2024-04-25,63103.80150188594,59979.276415877306,66324.60834024636
2024-04-26,62958.12010274208,59792.49903283918,66144.91621110162
2024-04-27,62604.367412675034,59497.318579800114,65758.796215934
2024-04-28,62496.37297255894,59646.794883521165,65834.172664501
2024-04-29,62601.79841989764,59296.03549011053,65864.3861395171
2024-04-30,62078.691909742294,58878.587624380976,65224.18897228136
2024-05-01,62257.71022641995,59194.845067958995,65538.97084237309
2024-05-02,62020.33973497824,58548.6220245651,64976.87570662108
2024-05-03,62103.65921171373,59121.41693564627,65378.96289124893
2024-05-04,61991.65220415637,58909.88878953795,65176.25518167301
2024-05-05,62135.080563247764,58896.161347846115,65196.12695700542
2024-05-06,62498.44322566007,59212.05632219427,65806.00564231201
2024-05-07,62236.592174023885,59173.907478275476,65326.27053517992
2024-05-08,62677.01257878277,59618.655216438165,65917.7139884664
2024-05-09,62698.09679991462,59475.4178345729,65759.22611275144
2024-05-10,63033.954074247136,59993.175047687204,66397.96685144055
2024-05-11,63165.762583044016,59771.41036223038,66204.99927378647
2024-05-12,63541.674928003325,60443.23434627715,66904.61281395442
2024-05-13,64123.800771760456,60760.19154111384,67487.07326814436
2024-05-14,64064.838577942806,60913.45046295407,67366.73481025513
2024-05-15,64690.36376774841,61458.68666340218,67740.30887337321
2024-05-16,64877.10357194937,61761.94731216218,68053.24157863866
2024-05-17,65357.74124818651,62081.66560764619,68719.37707785312
2024-05-18,65612.25744106076,62358.10632276714,68651.00549292439
2024-05-19,66087.8209265208,62969.90140672407,69254.05310107351
2024-05-20,66745.7538470107,63760.46795736599,69879.23094853482
2024-05-21,66738.14476164864,63487.27810253688,69729.24444188653
2024-05-22,67390.11824368763,64488.636292085845,70558.75395410394
2024-05-23,67578.0925831864,64361.04469988983,70695.64484928445
2024-05-24,68034.56952231746,64969.220456179915,71501.56167953266
2024-05-25,68239.46481524083,64925.64167605755,71318.86065382874
2024-05-26,68639.99268288122,65637.62916137051,71947.74505003079
2024-05-27,69197.62984173743,66267.71433698865,72365.03356163265
2024-05-28,69064.7327297267,65978.77204550587,72256.71611911946
2024-05-29,69566.81663563898,66389.60315303654,72788.70575660685
2024-05-30,69580.8280364527,66540.2850388744,72595.56070476955
2024-05-31,69839.95342381722,66669.05570687144,73095.98731353736
2024-06-01,69824.97256285818,66605.36883336132,72852.02681519365
2024-06-02,69984.16811425022,66838.91733365072,73137.42335556736
2024-06-03,70280.31598280928,67073.90098750922,73293.03079379958
2024-06-04,69867.32849629107,66769.27352124346,73135.88762372972
2024-06-05,70072.55752214926,66773.20412542777,73385.8178256315
2024-06-06,69775.08716702551,66507.50018488184,72777.0689427691
2024-06-07,69710.55769771134,66622.06280073624,72856.55041063354
2024-06-08,69362.52706262673,66282.52559351473,72678.18319364089
2024-06-09,69182.38053747803,65913.77195764107,72385.47419534382
2024-06-10,69136.31162778936,65964.2229792222,72111.55941968596
2024-06-11,68381.94540406352,65118.16717455549,71402.28595803014
2024-06-12,68250.61073144565,64968.90550434269,71537.29379494031
2024-06-13,67625.59075025533,64239.7936981294,70739.32548624222
2024-06-14,67246.89337558033,64315.064944807484,70338.54950519356
2024-06-15,66602.5486261785,63537.41585487406,69600.96715646195
2024-06-16,66148.44426954055,62840.71641515807,69288.2668747323
2024-06-17,65855.22417628365,62664.28066802875,69003.37830843855
2024-06-18,64884.822230453596,61756.96251297063,68261.73366232753
2024-06-19,64572.64025835609,61503.34289935438,67666.20711799018
2024-06-20,63805.70162783127,60601.114781367636,66922.28354536832
2024-06-21,63327.32477279328,60054.203005432275,66380.94563167085
2024-06-22,62628.3261977754,59413.65086135433,65529.33154433196
2024-06-23,62166.76715010893,58765.79091824195,65265.581078423296
2024-06-24,61914.771154003174,58659.41390871247,65060.20190780488
2024-06-25,61034.98793149517,57835.7495922693,64234.6623289579
2024-06-26,60862.71471102927,57770.73500716495,63907.29714527228
2024-06-27,60284.00881673244,57276.32984783386,63220.141375500396
2024-06-28,60040.337771632745,56826.49958895627,63097.63685411617
2024-06-29,59619.778001980376,56480.43548258399,62888.31167085895
2024-06-30,59476.77742284793,56249.829198755455,62603.63078373153
2024-07-01,59579.00968016745,56234.533266171195,62665.89811267695
2024-07-02,59083.89561366889,56058.284177974536,62371.140465927
2024-07-03,59320.8023963485,56238.39807734432,62322.33454425621
2024-07-04,59169.253176206854,55820.82420013328,62349.54425750966
2024-07-05,59363.69176301487,56476.42926148427,62850.552306738704
2024-07-06,59384.81128229608,56315.696396573614,62697.232270230365
2024-07-07,59679.45935834201,56655.160495448516,62978.308394930864
2024-07-08,60207.64457870513,56762.85321438376,63621.91655389032
2024-07-09,60119.21626934436,57159.267505577845,63157.795919241296
2024-07-10,60736.2243518575,57644.779164006344,63820.429068170735
2024-07-11,60931.28820363752,57785.58800866087,64083.73654337306
2024-07-12,61432.51509595374,58476.002773502434,64418.423953541955
2024-07-13,61714.97319260632,58585.64520115457,64991.377999935336
2024-07-14,62220.72792319687,58967.587390062174,65521.00599497656
2024-07-15,62905.96286719753,59735.02298312784,65997.66707334723
2024-07-16,62917.75407331546,59369.21425993902,65911.78994449605
2024-07-17,63576.50180804177,60575.50130252193,66718.81374018619
2024-07-18,63754.346448200704,60633.412373511885,67055.99330949594
2024-07-19,64180.10751615279,61220.506916866194,67440.35425625366
2024-07-20,64330.749825684565,61040.30194584417,67473.49585913261
2024-07-21,64651.38535561188,61562.03342344146,67871.13820496602
2024-07-22,65102.33240905558,61965.814202910544,68518.9579756291
2024-07-23,64835.80215389573,61496.11530718495,67761.50223144765
2024-07-24,65178.2183955108,62051.989908125266,68509.42437175458
2024-07-25,65008.49981278276,61835.23212429533,68265.62744765764
2024-07-26,65062.846730132755,61817.70538118481,68229.42235626736
2024-07-27,64826.04008110068,61706.41736763756,68034.10101992417
2024-07-28,64751.265173258354,61690.579527991045,67992.47018117085
2024-07-29,64806.98622463179,61571.42031252911,67853.92051197865
2024-07-30,64153.44635440895,61131.55645649652,67116.83124168274
2024-07-31,64124.803566456925,61061.22254156669,67217.186797909
2024-08-01,63607.236604719365,60475.61035479457,66688.8453941247
2024-08-02,63343.567251047396,60098.3496509994,66475.38367551616
2024-08-03,62824.4109317285,59816.599679512605,66001.6436867154
2024-08-04,62507.87205890533,59475.82026814551,65763.64025264997
2024-08-05,62366.31339036742,59289.833024286665,65567.25033531718
2024-08-06,61562.7768080697,58486.02651300301,64699.843009914235
2024-08-07,61433.06809522577,58399.26343605644,64581.58477107688
2024-08-08,60863.84090515922,57770.93095741884,63974.75841840226
2024-08-09,60597.227024393345,57397.37214770931,63755.33835939278
2024-08-10,60122.02454248264,56988.15647164448,63313.152085629175
2024-08-11,59893.4593038552,56892.28522913747,63105.112830594284
2024-08-12,59880.04711974763,56546.04374538885,62985.738287352666
2024-08-13,59240.1316004402,56131.632731288984,62508.50527442665
2024-08-14,59304.107004188554,56076.760521210046,62510.818156113906
2024-08-15,58952.65753806635,55621.4960234121,61896.80822337524
2024-08-16,58921.55598687306,55541.02597135389,62002.00122503444
2024-08-17,58693.02870000221,55732.7187535231,62053.67736254544
2024-08-18,58715.69750292818,55646.554965059535,61763.997542262994
2024-08-19,58951.62109264298,55683.33497101251,62230.19682086801
2024-08-20,58553.00590918293,55444.64531261686,61975.98098271248
2024-08-21,58844.59117115617,55691.63846776537,62189.372939933295
2024-08-22,58702.035111663514,55532.17870870931,61758.460761735725
2024-08-23,58856.841290275544,55505.4691293202,62148.697421092045
2024-08-24,58787.82860725214,55479.38624726401,62117.46924084812
2024-08-25,58941.15273278759,55994.54743124388,62055.2198353163
2024-08-26,59277.39943000668,56231.13841644549,62541.53845649445
2024-08-27,58948.31843017697,55732.39150859719,62098.45830495161
2024-08-28,59279.20202882981,56149.25078150511,62370.0977681311
2024-08-29,59147.23574224185,56091.92261985001,62421.5803078034
2024-08-30,59286.36104697283,56306.035204332606,62413.32061475291
2024-08-31,59178.65570357082,56130.5891928885,62310.71571425865
2024-09-01,59274.24207130294,56227.90330287904,62568.44434126705
2024-09-02,59538.24719066777,56591.07878929943,63014.79164316804
2024-09-03,59127.38717782022,55919.618495135284,62211.36557517827
2024-09-04,59372.18446689483,56132.59808570562,62529.265829647135
2024-09-05,59155.149919044794,55748.61305993805,62360.954057809926
2024-09-06,59215.47473222995,56176.51264269894,62351.81058480268
2024-09-07,59040.242627051724,55913.76182500051,62235.31697296569
2024-09-08,59084.177622042924,56031.87779786045,62161.45538110717
2024-09-09,59316.455872147664,56087.77294331233,62513.37572798542
2024-09-10,58897.15847843228,55767.73600683436,61995.87802697959
2024-09-11,59159.377680312624,56061.97984471337,62408.63891871636
2024-09-12,58987.3117758002,55814.04036484854,62014.00186295029
2024-09-13,59120.89633433311,55898.03446057312,62241.63216933188
2024-09-14,59046.98406539038,55771.3749806654,62232.071383290415
2024-09-15,59219.08973767118,56167.36859278327,62638.09978469541
2024-09-16,59604.228857827155,56496.844066881364,62618.57520563591
2024-09-17,59359.42640843908,56001.77476552871,62654.39314068623
2024-09-18,59813.906606305645,56760.22313478631,62672.68740688082
2024-09-19,59847.296779524084,56924.09326480253,63109.130132802624
2024-09-20,60194.38994214794,57240.304116878455,63280.933086336154
2024-09-21,60336.47478717013,57201.171179399134,63487.186029600314
2024-09-22,60721.24529132958,57361.07557854016,64135.88888287495
2024-09-23,61309.81400433073,58065.8721562534,64486.27128078034
2024-09-24,61253.400367409304,58414.478990181604,64547.85411751544
2024-09-25,61875.69989991753,58742.814005164895,65143.64627130507
2024-09-26,62051.26219941133,59066.65431075063,65213.4142966124
2024-09-27,62510.41729262185,59236.55387465587,65560.04904812646
2024-09-28,62730.75428595577,59438.82543827139,65969.29249788115
2024-09-29,63157.16011540736,59780.44064741535,66411.61445819277
2024-09-30,63748.938604545794,60491.29966866842,66766.35706408088
2024-10-01,63656.57793628549,60513.32675616121,66813.78451897335
2024-10-02,64204.16986129955,60941.419408833935,67448.65621869933
2024-10-03,64267.806868294094,61214.655586972796,67727.83840687753
2024-10-04,64580.4959855384,61534.30061657243,67901.88629933119
2024-10-05,64623.59315882016,61549.932997453376,67934.57184922646
2024-10-06,64846.766896643065,61782.25248855723,67977.81097851157
2024-10-07,65215.01312729151,61992.1349104516,68477.92641642899
2024-10-08,64885.29194025241,61562.38342228398,68096.33260688743
2024-10-09,65188.79281518707,61930.91866765514,68475.11766263588
2024-10-10,65009.15854341247,61859.42816189518,68229.67213724538
2024-10-11,65087.211009874576,61973.65400796523,68454.76920987884
2024-10-12,64912.187719761074,61947.354936133765,68211.3386488995
2024-10-13,64941.502990639005,61834.65108050655,67851.05304036512
2024-10-14,65147.56113721521,62266.32345920262,68255.55158297274
2024-10-15,64694.19769389816,61627.15185124366,67776.97061424884
2024-10-16,64918.76053792828,61808.24965164108,68165.86442350213
2024-10-17,64710.16604725397,61609.63295304717,67824.51626751275
2024-10-18,64813.47799749669,61617.03625346046,67918.4234924871
2024-10-19,64721.02205530204,61576.625344580454,67833.66514600033
2024-10-20,64892.05311985837,61909.794407351175,67979.75863370484
2024-10-21,65299.50538887394,62090.75835097636,68416.2433824893
2024-10-22,65106.40296867618,62097.503000098535,68233.97567933454
2024-10-23,65647.94376610876,62543.46502025338,68876.5233387714
2024-10-24,65809.59179404867,62970.98153297816,69006.47236272767
2024-10-25,66331.72470091943,63002.51352878202,69709.60017039988
2024-10-26,66700.84762534112,63788.817579608905,69959.89843374454
2024-10-27,67369.38804304186,64190.60694596738,70504.26940286129
2024-10-28,68302.59818694356,65493.34352648134,71424.22422405299
2024-10-29,68655.13886832021,65356.464544410024,71996.84694035655
2024-10-30,69753.35293536502,66554.09447530967,72924.36546324842
2024-10-31,70473.55856775248,67145.26820986705,73598.85824496279
2024-11-01,71546.90400316978,68470.71465422033,74617.81747693793
2024-11-02,72450.78944178586,69094.82175830752,75845.16070834929
2024-11-03,73628.8654457838,70506.56075890438,76763.02687695342
2024-11-04,75038.129215348,71831.85335865039,78118.38104970347
2024-11-05,75825.68766053894,72715.64968832169,79092.69962686107
2024-11-06,77311.19101962261,74061.9299066804,80534.04069632862
2024-11-07,78365.26327925452,75334.99816782362,81540.765183958
2024-11-08,79714.46769559167,76361.64657186132,82903.68132173458
2024-11-09,80832.81059743205,77733.11830205719,83763.08831801062
2024-11-10,82161.79102039548,78955.08721538143,85333.2465537511
2024-11-11,83657.51662469684,80764.94346374851,86815.83279761145
2024-11-12,84467.45474505375,81193.43560852922,87454.87774436605
2024-11-13,85912.82310562367,82844.75192705567,89204.51861068705
2024-11-14,86866.94806177131,83737.53803018855,90039.58346103273
2024-11-15,88060.13104721296,84912.5346179984,91273.18337267639
2024-11-16,88971.02948716887,85741.37503232558,92168.99746395381
2024-11-17,90046.56341485746,86822.79521902472,93136.88369614923
2024-11-18,91248.87243278905,88110.70732028839,94524.78587814792
2024-11-19,91731.89643606497,88780.2477169589,95035.4095043798
2024-11-20,92823.58944793232,89867.71656710622,96015.7432376006
2024-11-21,93404.09935904283,89981.69202502862,96594.6175854834
2024-11-22,94210.45915191401,91019.97650066571,97342.94723749846
2024-11-23,94727.80061078253,91434.34479978048,97689.67415763087
2024-11-24,95409.1061992449,92280.01797296555,98564.1670892608
2024-11-25,96222.02777611214,92855.44166994048,99345.51010756075
2024-11-26,96325.34907066051,93270.67156764826,99376.46635033043
2024-11-27,97051.1041536412,93737.66643319094,100070.97811821358
2024-11-28,97282.68688918694,94198.57458659646,100295.1307778197
2024-11-29,97759.4983958563,94544.87643826929,100753.34219912128
2024-11-30,97968.14418466315,94665.82371752676,101221.26949344884
2024-12-01,98362.1965348012,95111.8794478884,101617.24814800135
2024-12-02,98909.04987925306,95889.95406965908,102106.04008967019
2024-12-03,98766.44448151883,95700.77298255147,101897.88819412274
2024-12-04,99264.66831380218,96076.6328299529,102213.12037468512
2024-12-05,99284.76918474995,96144.24130853538,102339.26648434318
2024-12-06,99563.32068877555,96409.27906801684,102573.675530965
2024-12-07,99583.74977548102,96438.16880454186,102855.48545783586
2024-12-08,99796.23733434692,96625.28800317508,102950.89675318539
2024-12-09,100164.71522981844,97075.8046259091,103532.87863128644
2024-12-10,99843.53068773083,96842.59936414694,102762.98105494217
2024-12-11,100159.7836485218,97157.10401851716,103403.65677995903
2024-12-12,99991.66505079746,96904.35735363686,103413.93515714946
2024-12-13,100073.33586090032,96919.52941514457,103343.59162909185
2024-12-14,99886.35132601394,96773.87812094466,103121.32588732135
2024-12-15,99879.63905407519,96856.25661585262,102830.76636834527
2024-12-16,100016.5521702553,96915.9536148073,103085.57530946298
2024-12-17,99451.56693112174,96096.5176928776,102536.24570213289
2024-12-18,99512.62959690104,96322.85477648291,102551.45477395896
2024-12-19,99079.48043320842,95913.13509915359,102304.52559151272
2024-12-20,98888.49528538006,95822.13242647986,102048.08931750452
2024-12-21,98424.05052577231,95505.31931872392,101585.08419121042
2024-12-22,98138.4219508566,95173.47431133401,101173.55249019613
2024-12-23,97998.74143862033,94788.79530980265,100966.84745445968
2024-12-24,97163.58381503308,94144.99427598141,100430.41212744842
2024-12-25,96965.19220974977,93835.82708933274,100155.01730312758
2024-12-26,96287.6735577413,93220.15672813555,99460.9131219394
2024-12-27,95871.70866644829,92774.65974035928,99195.51350307859
2024-12-28,95205.78669636324,91988.74461618946,98506.67844686063
2024-12-29,94745.97862954786,91724.47189654624,97905.98863083143
2024-12-30,94462.77736532246,91240.2202825552,97610.15175010098
2024-12-31,93517.58043830893,90373.89729699219,96850.41104163001
2025-01-01,93244.82679850957,89913.73823705342,96365.0342144233
2025-01-02,92530.12199040626,89146.12687411945,95751.17419669969
2025-01-03,92114.89827357527,88775.07056730718,95364.24145727887
2025-01-04,91487.62103738645,88269.4678364554,94520.82350548303
2025-01-05,91103.5569280178,87919.69477125022,94582.04778523199
2025-01-06,90931.63148710394,87598.25555445159,94182.94653046335
2025-01-07,90130.95177108099,86767.40827124612,93284.40996814266
2025-01-08,90033.00419641413,86897.84601008412,93230.35849903377
2025-01-09,89519.86012230886,86370.39464761096,92739.1776918541
2025-01-10,89328.93331311269,85934.70810961959,92673.17781803574
2025-01-11,88944.2977305177,85908.54529176859,91862.86996617526
2025-01-12,88816.57775668806,85640.30693110236,92078.10528917922
2025-01-13,88909.93501496187,85915.08861141957,92293.60676751255
2025-01-14,88378.72341757771,85325.39117862465,91592.2411807089
2025-01-15,88549.81875294133,85570.55581041881,91670.55828934851
2025-01-16,88300.9514150018,84697.00523242788,91141.03814352202
2025-01-17,88365.58264700198,85277.95400765019,91399.804794354
2025-01-18,88224.32923004706,85054.95622625551,91467.34263095738
2025-01-19,88324.94555161471,85188.51709406036,91875.94039758776
2025-01-20,88629.384501364,85591.3972350022,91616.48087777644
2025-01-21,88290.506630198,85085.3757449808,91231.3828371715
2025-01-22,88634.44228180456,85644.8401935071,91929.62061627966
2025-01-23,88538.93433201057,85478.43284664096,91616.7020808873
2025-01-24,88738.2016050636,85356.15880695436,91926.56107341607
2025-01-25,88714.3282661699,85445.23406419909,92037.69296803493
2025-01-26,88917.18915484592,85973.28485488622,91985.47121392716
2025-01-27,89311.43416547586,86211.4522366674,92284.24990852062
2025-01-28,89053.10335068486,85852.61442920248,92134.91163562085
2025-01-29,89471.88021067444,86508.66794639989,92674.57366993105
2025-01-30,89449.31399148426,86277.42834816505,92466.48387562779
